"","CBSA","edu_hs_only","edu_ged_only","edu_bs","edu_ms","edu_prof","edu_phd","med_age_total","total_pop","med_income","one_bed_rent.x","two_bed_rent.x","three_bed_rent.x","four_bed_rent.x","five_bed_rent.x","priv_trans_all_qty","public_trans_qty","walked_qty","bike_cab_other_qty","work_from_home_qty","avg_time_to_work_all","priv_trans_all_time","priv_trans_alone_time","priv_trans_carpool_time","public_trans_time","walked_time","bike_cab_other_time","priv_trans_carpool_qty","TOTCNG","TOTADH","NONDCNG","NONDADH","TOTRATE","NONDRATE","Avg.Min.Temp","Avg.Max.Temp","cases","deaths","one_bed_avg","two_bed_avg","three_bed_avg","four_bed_avg","fiveplus_bed_avg","condo_avg","NAME","Avg_User","City, State","Year","Median AQI","CBSA_name.x","tot_emp_hc.x","loc_quotient_hc.x","tot_emp_rest.x","loc_quotient_rest.x","pop.x","pca_hc.x","rest_hc.x","one_bed_rent.y","two_bed_rent.y","three_bed_rent.y","four_bed_rent.y","five_bed_rent.y","CBSA_name.y","tot_emp_hc.y","loc_quotient_hc.y","tot_emp_rest.y","loc_quotient_rest.y","pop.y","pca_hc.y","rest_hc.y"
"1",10100,8100,1151,5579,1468,312,388,38.2,42430,53682,NA,NA,NA,NA,NA,18334,58,731,485,948,21559,20285,18334,1951,58,731,485,1951,94,31063,NA,NA,742.95444445,NA,36.495,56.355,809.692307692308,2.03846153846154,97101,124248,165229,201587,233202,212948,"Aberdeen, SD Micro Area",45,"Aberdeen, SD",2019,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",10140,13495,3466,5270,1899,261,344,43,71233,44521,NA,NA,NA,NA,NA,19984,380,508,458,1358,24580,23234,19984,3250,380,508,458,3250,105,21650,14,2226,297.3988889,30.57888889,42.83,54.53,576,10.8461538461538,159366,190977,212660,249994,368975,159745,"Aberdeen, WA Micro Area",244,"Aberdeen, WA",2019,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",10180,25336,8920,15804,5029,1139,810,33.9,168774,46473,667.878787878788,691.212121212121,903.333333333333,1210.60606060606,1546.06060606061,59949,570,1582,763,2667,71579,68664,59949,8715,570,1582,763,8715,296,104476,NA,NA,574.339629633333,NA,56.36,82.4866666666667,1381.17948717949,21.4615384615385,102140,74190,121043,141657,176644,118588,"Abilene, TX Metro Area",416,NA,NA,NA,"Abilene, TX",5120,"1.3",7210,"1.18",170009,0.030116052679564,0.030116052679564,667.878787878788,691.212121212121,903.333333333333,1210.60606060606,1546.06060606061,"Abilene, TX",5120,"1.3",7210,"1.18",170009,0.030116052679564,0.030116052679564
"4",10220,7087,1252,4166,1967,222,275,35.3,38213,44041,NA,NA,NA,NA,NA,15009,95,304,175,410,16808,16234,15009,1225,95,304,175,1225,103,21657,8,1350,577.6388889,36.00888889,54.05,78.29,539.769230769231,3.30769230769231,45594,71045,89421,95173,75121,NA,"Ada, OK Micro Area",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",10300,21545,3388,8828,3652,615,367,41.2,98673,49300,NA,NA,NA,NA,NA,35161,123,1086,369,1338,40953,39375,35161,4214,123,1086,369,4214,129,37108,16,3852,371.48,38.56,41.96,58.05,1658.30769230769,22,203448,202988,266360,332331,412686,225086,"Adrian, MI Micro Area",82,"Adrian, MI",2019,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",10420,143529,15563,91228,37820,8161,6241,40.2,703168,51749,588.732394366197,690.704225352113,880.422535211268,1114.22535211268,1196.05633802817,287226,5188,5932,1926,11315,323473,310427,287226,23201,5188,5932,1926,23201,622,299413,96,48115,373.445,54.61,43.33,59.19,3621.15384615385,162.153846153846,193703,256019,335310,472622,601061,306486,"Akron, OH Metro Area",5010,"Akron, OH",2019,43,"Akron, OH",22460,"1.1499999999999999",31310,"1.03",704454,0.0318828482768215,0.0318828482768215,588.732394366197,690.704225352113,880.422535211268,1114.22535211268,1196.05633802817,"Akron, OH",22460,"1.1499999999999999",31310,"1.03",704454,0.0318828482768215,0.0318828482768215
"7",10460,9586,2517,4084,2800,334,253,35.7,65333,41502,NA,NA,NA,NA,NA,18745,180,879,397,647,24148,22692,18745,3947,180,879,397,3947,94,25900,6,1359,405.98,21.3,50.54,71.97,1227.53846153846,13,NA,NA,NA,NA,NA,NA,"Alamogordo, NM Micro Area",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",10500,25070,5497,11033,5191,1507,805,36.3,154830,38674,609.722222222222,630.277777777778,742.222222222222,961.388888888889,1098.05555555556,48941,660,1144,461,2274,57885,55620,48941,6679,660,1144,461,6679,260,81294,NA,NA,466.71955556,NA,56.862,79.688,983.753846153846,56.4923076923077,62849,30789,85556,194113,234802,82919,"Albany, GA Metro Area",585,"Albany, GA",2019,40,"Albany, GA",4110,"1.18",5520,"1.02",153101,0.0268450238731295,0.0268450238731295,609.722222222222,630.277777777778,742.222222222222,961.388888888889,1098.05555555556,"Albany, GA",4110,"1.18",5520,"1.02",153101,0.0268450238731295,0.0268450238731295
"9",10540,20530,4504,10218,3428,758,508,39.5,119862,46782,847.391304347826,924.782608695652,1204.78260869565,1699.5652173913,2026.08695652174,38259,215,1281,1123,2522,45963,43344,38259,5085,215,1281,1123,5085,156,32118,18,4884,275.2788889,41.85888889,40.5,56.33,651.230769230769,13.6923076923077,124865,149876,202645,241484,290677,183418,"Albany, OR Metro Area",248,"Albany, OR",2019,28,"Albany, OR",1720,"0.64",4020,"0.97",122870,0.013998535037031,0.013998535037031,847.391304347826,924.782608695652,1204.78260869565,1699.5652173913,2026.08695652174,"Albany, OR",1720,"0.64",4020,"0.97",122870,0.013998535037031,0.013998535037031
"10",10580,140719,23186,118025,70114,13265,11602,39.9,879291,63758,786.423841059603,886.754966887417,1088.67549668874,1357.61589403974,1476.75496688742,344842,15068,15781,5035,17149,414895,379011,344842,34169,15068,15781,5035,34169,704,372819,66,19734,421.04533334,19.507777778,40.478,55.488,1387.90769230769,45.9384615384615,175016,192971,232159,273562,313117,199798,"Albany-Schenectady-Troy, NY Metro Area",15965,"Albany-Schenectady-Troy, NY",2019,37,"Albany-Schenectady-Troy, NY",28870,"1.08",35520,"0.85",880481,0.0327888960693076,0.0327888960693076,786.423841059603,886.754966887417,1088.67549668874,1357.61589403974,1476.75496688742,"Albany-Schenectady-Troy, NY",28870,"1.08",35520,"0.85",880481,0.0327888960693076,0.0327888960693076
