"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Avg Daily Min Air Temperature (F)
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2011"	"2011"	54.51
"Total"	"Alabama"	"01"	"Autauga County, AL"	"01001"			54.51
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2011"	"2011"	59.58
"Total"	"Alabama"	"01"	"Baldwin County, AL"	"01003"			59.58
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2011"	"2011"	55.78
"Total"	"Alabama"	"01"	"Barbour County, AL"	"01005"			55.78
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2011"	"2011"	53.85
"Total"	"Alabama"	"01"	"Bibb County, AL"	"01007"			53.85
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2011"	"2011"	53.04
"Total"	"Alabama"	"01"	"Blount County, AL"	"01009"			53.04
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2011"	"2011"	54.97
"Total"	"Alabama"	"01"	"Bullock County, AL"	"01011"			54.97
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2011"	"2011"	55.41
"Total"	"Alabama"	"01"	"Butler County, AL"	"01013"			55.41
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2011"	"2011"	53.07
"Total"	"Alabama"	"01"	"Calhoun County, AL"	"01015"			53.07
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2011"	"2011"	54.44
"Total"	"Alabama"	"01"	"Chambers County, AL"	"01017"			54.44
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2011"	"2011"	53.30
"Total"	"Alabama"	"01"	"Cherokee County, AL"	"01019"			53.30
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2011"	"2011"	54.25
"Total"	"Alabama"	"01"	"Chilton County, AL"	"01021"			54.25
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2011"	"2011"	54.02
"Total"	"Alabama"	"01"	"Choctaw County, AL"	"01023"			54.02
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2011"	"2011"	54.28
"Total"	"Alabama"	"01"	"Clarke County, AL"	"01025"			54.28
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2011"	"2011"	53.01
"Total"	"Alabama"	"01"	"Clay County, AL"	"01027"			53.01
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2011"	"2011"	52.58
"Total"	"Alabama"	"01"	"Cleburne County, AL"	"01029"			52.58
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2011"	"2011"	56.31
"Total"	"Alabama"	"01"	"Coffee County, AL"	"01031"			56.31
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2011"	"2011"	53.65
"Total"	"Alabama"	"01"	"Colbert County, AL"	"01033"			53.65
